iter	Passed	Remaining
685	6111	2797
686	6119	2788
687	6128	2779
688	6137	2770
689	6145	2761
690	6154	2752
691	6163	2743
692	6172	2734
693	6181	2725
694	6189	2716
695	6197	2707
696	6205	2697
697	6214	2688
698	6222	2679
699	6231	2670
700	6240	2661
701	6249	2652
702	6257	2643
703	6266	2634
704	6275	2626
705	6284	2617
706	6293	2608
707	6302	2599
708	6311	2590
709	6320	2581
710	6328	2572
711	6337	2563
712	6346	2554
713	6355	2545
714	6364	2537
715	6373	2527
716	6382	2519
717	6391	2510
718	6399	2501
719	6408	2492
720	6416	2482
721	6424	2473
722	6437	2466
723	6455	2461
724	6469	2453
725	6478	2445
726	6486	2435
727	6495	2426
728	6504	2418
729	6513	2408
730	6522	2400
731	6529	2390
732	6538	2381
733	6547	2372
734	6556	2363
735	6564	2354
736	6573	2345
737	6582	2337
738	6590	2327
739	6599	2318
740	6608	2309
741	6616	2300
742	6623	2291
743	6632	2282
744	6643	2273
745	6651	2264
746	6660	2255
747	6669	2246
748	6677	2237
749	6684	2228
750	6692	2219
751	6701	2210
752	6709	2200
753	6718	2192
754	6726	2182
755	6734	2173
756	6744	2165
757	6753	2156
758	6762	2147
759	6770	2138
760	6779	2129
761	6787	2119
762	6795	2110
763	6805	2102
764	6814	2093
765	6823	2084
766	6833	2075
767	6842	2067
768	6851	2058
769	6859	2048
770	6867	2039
771	6876	2030
772	6884	2021
773	6893	2012
774	6902	2003
775	6911	1995
776	6921	1986
777	6929	1977
778	6938	1968
779	6946	1959
780	6955	1950
781	6965	1941
782	6973	1932
783	6981	1923
784	6990	1914
785	6997	1905
786	7006	1896
787	7015	1887
788	7023	1878
789	7032	1869
790	7040	1860
791	7048	1851
792	7057	1842
793	7065	1833
794	7073	1824
795	7082	1815
796	7091	1806
797	7101	1797
798	7112	1789
799	7123	1780
800	7134	1772
801	7142	1763
802	7151	1754
803	7163	1746
804	7172	1737
805	7181	1728
806	7189	1719
807	7198	1710
808	7208	1701
809	7216	1692
810	7225	1683
811	7234	1675
812	7243	1666
813	7252	1657
814	7262	1648
815	7270	1639
816	7277	1630
817	7286	1621
818	7295	1612
819	7303	1603
820	7312	1594
821	7320	1585
822	7329	1576
823	7337	1567
824	7345	1558
825	7354	1549
826	7364	1540
827	7374	1531
828	7383	1522
829	7392	1514
830	7401	1505
831	7411	1496
832	7421	1487
833	7429	1478
834	7438	1469
835	7447	1461
836	7456	1452
837	7464	1443
838	7472	1434
839	7482	1425
840	7490	1416
841	7499	1407
842	7508	1398
843	7516	1389
844	7524	1380
845	7532	1371
846	7540	1362
847	7550	1353
848	7558	1344
849	7567	1335
850	7576	1326
851	7584	1317
852	7592	1308
853	7601	1299
854	7609	1290
855	7617	1281
856	7627	1272
857	7636	1263
858	7646	1255
859	7656	1246
860	7664	1237
861	7672	1228
862	7679	1219
863	7688	1210
864	7696	1201
865	7705	1192
866	7713	1183
867	7722	1174
868	7730	1165
869	7738	1156
870	7747	1147
871	7756	1138
872	7764	1129
873	7778	1121
874	7796	1113
875	7807	1105
876	7816	1096
877	7825	1087
878	7833	1078
879	7842	1069
880	7850	1060
881	7860	1051
882	7868	1042
883	7877	1033
884	7886	1024
885	7896	1015
886	7905	1007
887	7912	997
888	7921	989
889	7929	980
890	7937	971
891	7946	962
892	7956	953
893	7965	944
894	7975	935
895	7985	926
896	7993	917
897	8001	908
898	8009	899
899	8018	890
900	8028	882
901	8036	873
902	8046	864
903	8054	855
904	8063	846
905	8071	837
906	8080	828
907	8088	819
908	8096	810
909	8105	801
910	8113	792
911	8122	783
912	8131	774
913	8140	765
914	8149	757
915	8159	748
916	8167	739
917	8176	730
918	8185	721
919	8193	712
920	8201	703
921	8210	694
922	8218	685
923	8227	676
924	8235	667
925	8243	658
926	8253	649
927	8263	641
928	8272	632
929	8280	623
930	8289	614
931	8298	605
932	8306	596
933	8315	587
934	8324	578
935	8332	569
936	8342	560
937	8351	551
938	8360	543
939	8368	534
940	8377	525
941	8386	516
942	8393	507
943	8402	498
944	8411	489
945	8419	480
946	8428	471
947	8437	462
948	8445	453
949	8455	445
950	8464	436
951	8474	427
952	8483	418
953	8491	409
954	8499	400
955	8508	391
956	8517	382
957	8525	373
958	8533	364
959	8542	355
960	8552	347
961	8560	338
962	8569	329
963	8578	320
964	8587	311
965	8597	302
966	8605	293
967	8614	284
968	8623	275
969	8632	266
970	8639	258
971	8648	249
972	8656	240
973	8666	231
974	8675	222
975	8683	213
976	8691	204
977	8699	195
978	8708	186
979	8717	177
980	8725	168
981	8734	160
982	8743	151
983	8751	142
984	8761	133
985	8768	124
986	8778	115
987	8786	106
988	8795	97
989	8804	88
990	8812	80
991	8821	71
992	8830	62
993	8839	53
994	8848	44
995	8857	35
996	8866	26
997	8877	17
998	8893	8
999	8908	0
