iter	Passed	Remaining
838	24230	4649
839	24260	4620
840	24288	4592
841	24315	4562
842	24344	4533
843	24374	4505
844	24406	4477
845	24437	4448
846	24469	4420
847	24497	4391
848	24526	4362
849	24556	4333
850	24581	4303
851	24610	4275
852	24639	4246
853	24663	4216
854	24691	4187
855	24725	4159
856	24751	4130
857	24778	4100
858	24809	4072
859	24836	4043
860	24864	4014
861	24894	3985
862	24923	3956
863	24945	3926
864	24979	3898
865	25009	3869
866	25036	3840
867	25067	3812
868	25097	3783
869	25126	3754
870	25154	3725
871	25185	3697
872	25213	3667
873	25243	3639
874	25274	3610
875	25298	3581
876	25325	3551
877	25356	3523
878	25387	3494
879	25414	3465
880	25440	3436
881	25469	3407
882	25496	3378
883	25523	3349
884	25553	3320
885	25584	3291
886	25617	3263
887	25649	3235
888	25674	3205
889	25708	3177
890	25741	3149
891	25767	3119
892	25797	3091
893	25825	3062
894	25849	3032
895	25873	3003
896	25901	2974
897	25927	2945
898	25956	2916
899	25982	2886
900	26007	2857
901	26039	2829
902	26067	2800
903	26095	2771
904	26126	2742
905	26151	2713
906	26177	2684
907	26205	2655
908	26235	2626
909	26262	2597
910	26286	2568
911	26315	2539
912	26357	2511
913	26384	2482
914	26408	2453
915	26434	2424
916	26463	2395
917	26490	2366
918	26514	2336
919	26540	2307
920	26567	2278
921	26598	2250
922	26626	2221
923	26652	2192
924	26684	2163
925	26718	2135
926	26749	2106
927	26779	2077
928	26808	2048
929	26839	2020
930	26864	1991
931	26890	1961
932	26921	1933
933	26951	1904
934	26977	1875
935	27005	1846
936	27036	1817
937	27062	1788
938	27091	1759
939	27115	1730
940	27144	1701
941	27172	1673
942	27195	1643
943	27224	1614
944	27252	1586
945	27280	1557
946	27308	1528
947	27333	1499
948	27359	1470
949	27392	1441
950	27420	1412
951	27446	1383
952	27477	1355
953	27503	1326
954	27533	1297
955	27559	1268
956	27592	1239
957	27616	1210
958	27642	1181
959	27676	1153
960	27708	1124
961	27738	1095
962	27767	1066
963	27790	1037
964	27818	1008
965	27846	980
966	27875	951
967	27904	922
968	27930	893
969	27958	864
970	27986	835
971	28018	807
972	28052	778
973	28082	749
974	28114	720
975	28144	692
976	28173	663
977	28207	634
978	28239	605
979	28269	576
980	28300	548
981	28331	519
982	28363	490
983	28396	461
984	28426	432
985	28457	404
986	28486	375
987	28518	346
988	28547	317
989	28573	288
990	28600	259
991	28632	230
992	28664	202
993	28693	173
994	28726	144
995	28751	115
996	28781	86
997	28808	57
998	28832	28
999	28860	0
