iter	Passed	Remaining
241	2239	7015
242	2248	7003
243	2256	6992
244	2267	6986
245	2275	6975
246	2284	6963
247	2293	6954
248	2302	6944
249	2312	6938
250	2322	6929
251	2331	6919
252	2339	6908
253	2347	6895
254	2357	6887
255	2365	6875
256	2374	6865
257	2382	6853
258	2391	6842
259	2401	6834
260	2409	6822
261	2417	6809
262	2426	6798
263	2436	6791
264	2445	6782
265	2454	6772
266	2463	6762
267	2472	6752
268	2481	6744
269	2490	6733
270	2499	6724
271	2509	6715
272	2518	6706
273	2526	6695
274	2536	6686
275	2545	6676
276	2554	6666
277	2562	6655
278	2572	6647
279	2581	6638
280	2590	6627
281	2599	6619
282	2608	6609
283	2617	6599
284	2627	6592
285	2636	6581
286	2646	6573
287	2655	6564
288	2664	6555
289	2672	6542
290	2682	6536
291	2691	6525
292	2699	6513
293	2708	6504
294	2717	6494
295	2726	6483
296	2734	6473
297	2743	6463
298	2752	6452
299	2761	6443
300	2771	6435
301	2780	6427
302	2789	6417
303	2798	6407
304	2808	6399
305	2818	6391
306	2827	6383
307	2836	6373
308	2845	6363
309	2855	6354
310	2865	6347
311	2873	6337
312	2882	6326
313	2892	6318
314	2902	6312
315	2912	6304
316	2921	6294
317	2930	6285
318	2939	6276
319	2949	6268
320	2958	6257
321	2967	6247
322	2976	6238
323	2985	6229
324	2994	6219
325	3003	6209
326	3012	6200
327	3021	6190
328	3030	6180
329	3039	6171
330	3049	6163
331	3059	6156
332	3069	6147
333	3077	6135
334	3087	6128
335	3095	6117
336	3104	6107
337	3113	6097
338	3121	6086
339	3129	6075
340	3139	6066
341	3147	6056
342	3157	6047
343	3165	6036
344	3173	6025
345	3182	6016
346	3192	6007
347	3201	5998
348	3210	5988
349	3219	5978
350	3227	5968
351	3237	5959
352	3245	5948
353	3255	5940
354	3264	5931
355	3273	5921
356	3283	5913
357	3292	5904
358	3301	5894
359	3310	5884
360	3319	5875
361	3327	5864
362	3336	5854
363	3345	5844
364	3354	5835
365	3363	5826
366	3374	5819
367	3383	5810
368	3392	5800
369	3401	5791
370	3409	5780
371	3419	5772
372	3428	5763
373	3437	5754
374	3447	5745
375	3456	5736
376	3465	5726
377	3474	5717
378	3483	5707
379	3491	5697
380	3501	5689
381	3511	5680
382	3520	5671
383	3530	5662
384	3539	5653
385	3547	5643
386	3557	5634
387	3566	5624
388	3575	5616
389	3585	5607
390	3594	5599
391	3603	5589
392	3611	5578
393	3621	5569
394	3630	5560
395	3639	5551
396	3648	5541
397	3657	5532
398	3665	5521
399	3674	5512
400	3684	5503
401	3692	5493
402	3701	5483
403	3711	5475
404	3720	5466
405	3729	5456
406	3738	5447
407	3748	5438
408	3757	5429
409	3767	5420
410	3775	5411
411	3785	5402
